[15:57:43] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[15:57:43] [INIT] Loaded plugins:
[15:57:43] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[15:57:43] [INIT] - net.threetag.palladium.compat.kubejs.PalladiumKubeJSPlugin
[15:57:44] [INFO] example.js#5: Hello, World! (Loaded startup scripts)
[15:57:44] [INFO] Loaded script startup_scripts:example.js in 0.045 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_run_up.js in 0.011 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_run_down.js in 0.002 s
[15:57:44] [INFO] addonpack_alienevo:kubejs_scripts/wall_run.js#1: Loaded Java class 'net.minecraft.world.level.ClipContext'
[15:57:44] [INFO] addonpack_alienevo:kubejs_scripts/wall_run.js#51: Loaded Java class 'net.minecraft.network.protocol.game.ClientboundSetEntityMotionPacket'
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_run.js in 0.027 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb_small.js in 0.01 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb_move_condition.js in 0.002 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb_condition.js in 0.001 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb.js in 0.008 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/transform.js in 0.021 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/store_armor.js in 0.003 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/stat_ability.js in 0.003 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/spawn_particles_block.js in 0.007 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/sounds.js in 0.001 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/slot_transform.js in 0.015 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/screen_shake.js in 0.002 s
[15:57:44] [INFO] addonpack_alienevo:kubejs_scripts/rolling_mechanics.js#117: Loaded Java class 'net.minecraft.world.entity.LivingEntity'
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/rolling_mechanics.js in 0.072 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/recharge.js in 0.001 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/quick_change_wheel_condition.js in 0.0 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/quick_change.js in 0.001 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/pyro_surf.js in 0.001 s
[15:57:44] [INFO] addonpack_alienevo:kubejs_scripts/projectile.js#2: Loaded Java class 'net.minecraft.world.phys.Vec3'
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/projectile.js in 0.003 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/predator_vision.js in 0.003 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/playlist_cycle.js in 0.002 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/ore_detect.js in 0.011 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/omnitrix_timer.js in 0.008 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/omnitrix_cycle_animation.js in 0.002 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/omnitrix_cycle.js in 0.004 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/omni_properties.js in 0.001 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/motion_water.js in 0.001 s
[15:57:44] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/motion_to_entity.js in 0.009 s
